Mozambique,MOZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,8375147255.75769
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,4321587418.86337
Mauritius,MUS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,6345507723.92857
Malawi,MWI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,3021530344.34893
Malaysia,MYS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,222719569105.583
North America,NAC,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Namibia,NAM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,6771106312.18657
New Caledonia,NCL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Niger,NER,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2002819969
Nigeria,NGA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,39804659168.3965
Nicaragua,NIC,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,10131300000
Netherlands,NLD,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,605522778423.55
Norway,NOR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,98465149032.2852
Nepal,NPL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,12135894260.8496
Nauru,NRU,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,92653917.9753564
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,47268126360.4989
OECD members,OED,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Oman,OMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,39489777135
Other small states,OSS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Pakistan,PAK,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,55644000000
Panama,PAN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,25140620448
Peru,PER,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,52091353653.074
Philippines,PHL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,123919858028.284
Palau,PLW,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Papua New Guinea,PNG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,4685562442.33041
Poland,POL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,367231000000
Pre-demographic dividend,PRE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Puerto Rico (US),PRI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
"Korea, Dem. People's Rep.",PRK,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Portugal,PRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,109067356734.075
Paraguay,PRY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,15835333922
West Bank and Gaza,PSE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,6873746159.35631
Pacific island small states,PSS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Post-demographic dividend,PST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
French Polynesia,PYF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Qatar,QAT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,32606868131.8681
Romania,ROU,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,128962896035.213
Russian Federation,RUS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,301548110000
Rwanda,RWA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,5545401269.26034
South Asia,SAS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Saudi Arabia,SAU,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,213752430879.728
Sudan,SDN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Senegal,SEN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Singapore,SGP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,429321126549.754
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,608712649.067166
Sierra Leone,SLE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2398504155
El Salvador,SLV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,15095066348.0087
San Marino,SMR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
"Somalia, Fed. Rep.",SOM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Serbia,SRB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,39618160658.7292
Sub-Saharan Africa (excluding high income),SSA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
South Sudan,SSD,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Sub-Saharan Africa,SSF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Small states,SST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Sao Tome and Principe,STP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,153480883.88643
Suriname,SUR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1650652914.70358
Slovak Republic,SVK,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,107450514080.766
Slovenia,SVN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,45159642787.5668
Sweden,SWE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,187826188887.568
Eswatini,SWZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2071606138.28027
Sint Maarten (Dutch part),SXM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Seychelles,SYC,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1384923893.9111
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Turks and Caicos Islands,TCA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Chad,TCD,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
East Asia & Pacific (IDA & IBRD countries),TEA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Europe & Central Asia (IDA & IBRD countries),TEC,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Togo,TGO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Thailand,THA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,275910757471.943
Tajikistan,TJK,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,5936267740
Turkmenistan,TKM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Timor-Leste,TLS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,839015571.260205
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Tonga,TON,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,231822618.38752
